sku,year_month,plc_stage,decline_risk_prob,decline_risk_level,decline_reason,recommended_action,region,regional_action,final_recommendation,mba_recommendation
yo-009,2022-02,Introduction,0.7085684920647956,High Risk,Negative sales momentum,Immediate corrective action required,All Regions,Prioritize corrective actions across all regions,"Urgent decline risk detected; Immediate corrective action required; Prioritize corrective actions across all regions; Bundle with: mi-006, mi-026","Bundle with: mi-006, mi-026"
yo-024,2022-02,Introduction,0.7287400840935898,High Risk,Negative sales momentum,Immediate corrective action required,All Regions,Prioritize corrective actions across all regions,"Urgent decline risk detected; Immediate corrective action required; Prioritize corrective actions across all regions; Bundle with: mi-006, yo-029","Bundle with: mi-006, yo-029"
re-015,2022-10,Growth,0.7078085595648795,High Risk,Early decline risk detected by ML model based on combined signals,Immediate corrective action required,pl-south,Prioritize corrective actions in pl-south,"Urgent decline risk detected; Immediate corrective action required; Prioritize corrective actions in pl-south; Bundle with: mi-026, mi-006","Bundle with: mi-026, mi-006"
re-007,2023-12,Maturity,0.8332909409773327,High Risk,Negative sales momentum,Immediate corrective action required,pl-central,Prioritize corrective actions in pl-central,"Urgent decline risk detected; Immediate corrective action required; Prioritize corrective actions in pl-central; Bundle with: mi-026, mi-006","Bundle with: mi-026, mi-006"
mi-006,2023-12,Maturity,0.9307950429220214,High Risk,Significant drop from peak sales; Long time since last sales peak,Review pricing and promotions; Consider product repositioning,pl-central,Prioritize corrective actions in pl-central,"Urgent decline risk detected; Review pricing and promotions; Consider product repositioning; Prioritize corrective actions in pl-central; Bundle with: mi-026, yo-029","Bundle with: mi-026, yo-029"
mi-026,2023-12,Maturity,0.9220125946417876,High Risk,Significant drop from peak sales; Long time since last sales peak; Sustained negative growth,Review pricing and promotions; Increase marketing or bundle offers; Consider product repositioning,pl-south,Prioritize corrective actions in pl-south,"Urgent decline risk detected; Review pricing and promotions; Increase marketing or bundle offers; Consider product repositioning; Prioritize corrective actions in pl-south; Bundle with: mi-006, yo-029","Bundle with: mi-006, yo-029"
sn-027,2023-12,Maturity,0.7679877150254004,High Risk,Significant drop from peak sales,Review pricing and promotions,pl-south,Prioritize corrective actions in pl-south,"Urgent decline risk detected; Review pricing and promotions; Prioritize corrective actions in pl-south; Bundle with: mi-006, yo-029","Bundle with: mi-006, yo-029"
ju-021,2024-02,Maturity,0.7340749040408897,High Risk,Significant drop from peak sales; Negative sales momentum; Product aging,Review pricing and promotions; Evaluate SKU rationalization or replacement,pl-south,Prioritize corrective actions in pl-south,"Urgent decline risk detected; Review pricing and promotions; Evaluate SKU rationalization or replacement; Prioritize corrective actions in pl-south; Bundle with: mi-026, mi-006","Bundle with: mi-026, mi-006"
yo-009,2024-03,Maturity,0.897836332252099,High Risk,Product aging,Evaluate SKU rationalization or replacement,pl-central,Prioritize corrective actions in pl-central,"Urgent decline risk detected; Evaluate SKU rationalization or replacement; Prioritize corrective actions in pl-central; Bundle with: mi-006, mi-026","Bundle with: mi-006, mi-026"
yo-014,2024-03,Maturity,0.9676779027396102,High Risk,Long time since last sales peak; Product aging,Consider product repositioning; Evaluate SKU rationalization or replacement,pl-south,Prioritize corrective actions in pl-south,"Urgent decline risk detected; Consider product repositioning; Evaluate SKU rationalization or replacement; Prioritize corrective actions in pl-south; Bundle with: mi-026, mi-006","Bundle with: mi-026, mi-006"
re-004,2024-03,Maturity,0.961841534732006,High Risk,Product aging,Evaluate SKU rationalization or replacement,pl-north,Prioritize corrective actions in pl-north,"Urgent decline risk detected; Evaluate SKU rationalization or replacement; Prioritize corrective actions in pl-north; Bundle with: mi-026, mi-006","Bundle with: mi-026, mi-006"
yo-009,2024-05,Maturity,0.7298423444146142,High Risk,Negative sales momentum; Product aging,Evaluate SKU rationalization or replacement,pl-south,Prioritize corrective actions in pl-south,"Urgent decline risk detected; Evaluate SKU rationalization or replacement; Prioritize corrective actions in pl-south; Bundle with: mi-006, mi-026","Bundle with: mi-006, mi-026"
mi-023,2024-05,Maturity,0.8926819356029227,High Risk,Long time since last sales peak; Product aging,Consider product repositioning; Evaluate SKU rationalization or replacement,pl-north,Prioritize corrective actions in pl-north,"Urgent decline risk detected; Consider product repositioning; Evaluate SKU rationalization or replacement; Prioritize corrective actions in pl-north; Bundle with: mi-006, mi-026","Bundle with: mi-006, mi-026"
yo-020,2024-05,Maturity,0.9687274415746033,High Risk,Negative sales momentum; Product aging,Evaluate SKU rationalization or replacement,pl-south,Prioritize corrective actions in pl-south,"Urgent decline risk detected; Evaluate SKU rationalization or replacement; Prioritize corrective actions in pl-south; Bundle with: mi-026, mi-006","Bundle with: mi-026, mi-006"
